IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"3.218.214.134","us.transcend.io","","","","","us.transcend.io|*.us.transcend.io","","false"
"3.218.214.142","*.itconsultsa.com","","","","","*.itconsultsa.com","","false"
"3.218.214.143","*.squarepeghires.com","","","","","*.squarepeghires.com","","false"
"3.218.214.146","canvas.pbseducation.org","","","","","canvas.pbseducation.org|canvas.pbsteacherline.org","","false"
"3.218.214.150","fiix.software","","","","","fiix.software|*.fiix.software","","false"
"3.218.214.149","*.msc-stg.wkgposvc.cloud","","","","","*.msc-stg.wkgposvc.cloud","","false"
"3.218.214.152","*.edge.bamgrid.com","","","","","*.edge.bamgrid.com","","false"
"3.218.214.163","holly.prime-video.amazon.dev","Amazon.com Inc.","US","Seattle","Washington","holly.prime-video.amazon.dev","","false"
"3.218.214.174","cable.customer-timeline.com","","","","","cable.customer-timeline.com|*.cable.customer-timeline.com","","false"
"3.218.214.179","*.us-east-1.cloudsearch.amazonaws.com","","","","","*.us-east-1.cloudsearch.amazonaws.com","","false"
"3.218.214.182","*.lip7d0ctd247c.us-east-1.cs.amazonlightsail.com","","","","","*.lip7d0ctd247c.us-east-1.cs.amazonlightsail.com","","false"
"3.218.214.184","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"3.218.214.186","dev-pulse.riahealth.com","","","","","dev-pulse.riahealth.com","","false"
"3.218.214.193","*.hotal.cloud","","","","","*.hotal.cloud|hotal.cloud","","false"
"3.218.214.195","*.h9qcn8yt6k1ae.us-east-1.cs.amazonlightsail.com","","","","","*.h9qcn8yt6k1ae.us-east-1.cs.amazonlightsail.com","","false"
"3.218.214.198","vgokw.com","","","","","vgokw.com|www.vgokw.com","","false"
"3.218.214.203","*.staging.joineve.ai","","","","","*.staging.joineve.ai","","false"
"3.218.214.208","ancheer.shop","","","","","ancheer.shop|*.ancheer.shop|speesion.com|*.speesion.com|birkenmarket.com|*.birkenmarket.com|sandalboutiques.com|*.sandalboutiques.com|birkensupply.com|*.birkensupply.com","","false"
"3.218.214.219","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"3.218.214.221","*.zentech.splunkcloud.com","Splunk Inc.","US","San Francisco","California","*.zentech.splunkcloud.com|zentech.splunkcloud.com|idm-zentech.splunkcloud.com|*.idm-zentech.splunkcloud.com|es-zentech.splunkcloud.com|*.es-zentech.splunkcloud.com|http-inputs-zentech.splunkcloud.com|*.http-inputs-zentech.splunkcloud.com|akamai-inputs-zentech.splunkcloud.com|*.akamai-inputs-zentech.splunkcloud.com|http-inputs-ack-zentech.splunkcloud.com|*.http-inputs-ack-zentech.splunkcloud.com|http-inputs-firehose-zentech.splunkcloud.com|*.http-inputs-firehose-zentech.splunkcloud.com|*.pvt.zentech.splunkcloud.com|pvt.zentech.splunkcloud.com","","false"
"3.218.214.234","www.korbyt.com","","","","","www.korbyt.com|*.korbyt.com|korbyt.com","","false"
"3.218.214.235","*.cxengagelabs.net","","","","","*.cxengagelabs.net","","false"
"3.218.214.244","*.ureca-lab.com","SAMSUNG ELECTRONICS CO,.LTD","KR","","Gyeonggi-do","*.ureca-lab.com|ureca-lab.com","","false"
"3.218.214.255","h2.andiki.net","","","","","h2.andiki.net","","false"
"3.218.215.0","*.q0db68nmj17is.us-east-1.cs.amazonlightsail.com","","","","","*.q0db68nmj17is.us-east-1.cs.amazonlightsail.com","","false"
"3.218.215.1","admixplay.com","","","","","admixplay.com|*.admixplay.com","","false"
"3.218.214.254","*.mq.us-east-1.amazonaws.com","","","","","*.mq.us-east-1.amazonaws.com","","false"
