IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"52.16.245.128","*.nurocor-clinical-platform.com","","","","","*.nurocor-clinical-platform.com|*.nurocorinternal.com","","false"
"52.16.245.134","ua.prd.atlas-eks.eu.olx.org","","","","","ua.prd.atlas-eks.eu.olx.org|*.ua.prd.atlas-eks.eu.olx.org","","false"
"52.16.245.135","admin-nft.commerce.dyson.com","Magento Cloud","FR","","","","","true"
"52.16.245.137","beiweverona.it","","","","","beiweverona.it|www.beiweverona.it","","false"
"52.16.245.148","kube-apiserver","","","","","be55c5f997fa501afb30b7f7ca0fce7a.sk1.eu-west-1.eks.amazonaws.com|ip-10-0-106-63.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.31.13.178|10.0.106.63","false"
"52.16.245.150","dev-puppet5-foreman-apachelb.lightspeedrestaurant.com","","","","","dev-puppet5-foreman-apachelb|dev-puppet5-foreman-apachelb.lightspeedrestaurant.com|dev-puppet5-foreman-puppetmaster01.lightspeedrestaurant.com|dev-puppet5-foreman.lightspeedrestaurant.com|puppet","","false"
"52.16.245.161","*.ayalonhw.co.il","","","","","*.ayalonhw.co.il|ayalonhw.co.il","","false"
"52.16.245.157","*.nmo.at","","","","","*.nmo.at|*.dev.nmo.at|*.production.nmo.at|*.stage.nmo.at|*.tt.com","","false"
"52.16.245.159","nanodyn-api.injozitech.com","","","","","nanodyn-api.injozitech.com","","false"
"52.16.245.164","preprod.cella.cloud","","","","","preprod.cella.cloud|*.preprod.cella.cloud","","false"
"52.16.245.180","portal.eyeball.club","","","","","portal.eyeball.club","","false"
"52.16.245.188","pro.muwl.pitti.ows.farm","","","","","pro.muwl.pitti.ows.farm|*.pro.muwl.pitti.ows.farm","","false"
"52.16.245.179","*.worldline.slyo.me","","","","","*.worldline.slyo.me|worldline.slyo.me","","false"
"52.16.245.190","*.eu-west-1.es.amazonaws.com","","","","","*.eu-west-1.es.amazonaws.com|*.cell-01.eu-west-1.es.amazonaws.com","","false"
"52.16.245.196","stage.kwr.supgr.net","","","","","stage.kwr.supgr.net|www.stage.kwr.supgr.net","","false"
"52.16.245.209","kube-apiserver","","","","","e8f4842ce7d808452cc90f4eb99d9aa9.yl4.eu-west-1.eks.amazonaws.com|ip-172-16-48-229.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.3.13.50|172.16.48.229","false"
"52.16.245.210","apponsite.vibia.dev","","","","","apponsite.vibia.dev|*.apponsite.vibia.dev","","false"
"52.16.245.217","*.svc.nuptic.com","","","","","*.svc.nuptic.com","","false"
"52.16.245.222","*.v2-staging.payflow-dev.net","","","","","*.v2-staging.payflow-dev.net","","false"
"52.16.245.233","kube-apiserver","","","","","1261f7d78f05c2b4ac4c577c2bb614ba.yl4.eu-west-1.eks.amazonaws.com|ip-10-0-101-38.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|192.168.127.71|10.0.101.38","false"
"52.16.245.241","kube-apiserver","","","","","185845beac94a211c7b85ebba1e42cbb.gr7.eu-west-1.eks.amazonaws.com|ip-172-16-46-1.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.1.13.8|172.16.46.1","false"
"52.16.245.247","*.arthuronline.co.uk","","","","","*.arthuronline.co.uk","","false"
"52.16.245.254","passport-stage.api.row.mopartsp.com","","","","","passport-stage.api.row.mopartsp.com","","false"
"52.16.245.253","*.koncentro.cloud","","","","","*.koncentro.cloud","","false"
"52.16.246.5","alb.ac-cloud-st.com","","","","","alb.ac-cloud-st.com|ac-cloud-st.com","","false"
"52.16.246.6","TRAEFIK DEFAULT CERT","","","","","69f3d2596b2bf58dd076b1e1fbd69fff.96c85b9745e4f3dcc7419e38d50d855f.traefik.default","","true"
"52.16.246.13","flowbox.me","","","","","flowbox.me|*.flowbox.me","","false"
"52.16.246.23","kube-apiserver","","","","","8f72fb60d8846b01d8abcb61fab16f19.gr7.eu-west-1.eks.amazonaws.com|ip-172-16-114-149.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|100.66.17.123|172.16.114.149","false"
"52.16.246.21","int.cd.s.joyn.de","","","","","int.cd.s.joyn.de|*.stg.cd.s.joyn.de|*.int.cd.s.joyn.de|stg.cd.s.joyn.de|*.dev.cd.s.joyn.de|dev.cd.s.joyn.de","","false"
"52.16.246.38","kube-apiserver","","","","","8e958ad93a78f06352623d76c984113e.gr7.eu-west-1.eks.amazonaws.com|ip-172-16-177-201.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.22.211|172.16.177.201","false"
"52.16.246.37","*.eu-west-1.cloudsearch.amazonaws.com","","","","","*.eu-west-1.cloudsearch.amazonaws.com","","false"
"52.16.246.36","*.multichoice.com","Multichoice Support Services","ZA","Randburg","Gauteng","*.multichoice.com|multichoice.com","","false"
"52.16.246.46","*.eu-west-1.es.amazonaws.com","","","","","*.eu-west-1.es.amazonaws.com","","false"
"52.16.246.49","clippatl-dev.aws.pmicloud.biz","","","","","clippatl-dev.aws.pmicloud.biz|*.clippatl-dev.aws.pmicloud.biz","","false"
"52.16.246.51","jenkins.opg.service.justice.gov.uk","","","","","jenkins.opg.service.justice.gov.uk","","false"
"52.16.246.55","*.ucg.datafront.co","","","","","*.ucg.datafront.co|ucg.datafront.co","","false"
"52.16.246.65","*.c0.eu-west-1.airflow.amazonaws.com","","","","","*.c0.eu-west-1.airflow.amazonaws.com","","false"
"52.16.246.69","*.grandvisual.net","","","","","*.grandvisual.net|grandvisual.net","","false"
"52.16.246.78","bayut.com","","","","","bayut.com|*.bayut.com","","false"
"52.16.246.82","kube-apiserver","","","","","19d8d050df8c5a131cd4c68eed85bfe5.gr7.eu-west-1.eks.amazonaws.com|ip-172-16-50-87.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.4.41.22|172.16.50.87","false"
"52.16.246.84","bupadev.egain.cloud","","","","","bupadev.egain.cloud","","false"
"52.16.246.85","*.macmillanenglishcampus-lms.com","","","","","*.macmillanenglishcampus-lms.com|macmillanenglishcampus-lms.com|macmillanpracticeonline.com|*.macmillaneducationeverywhere.com|*.macmillan.education|*.macmillanpracticeonline.com|macmillaneducationeverywhere.com","","false"
"52.16.246.86","brands.apollo.audio","","","","","brands.apollo.audio|*.brands.apollo.audio","","false"
"52.16.246.89","tools.hme.ovh","","","","","tools.hme.ovh","","false"
"52.16.246.88","*.mobicontrolcloud.com","","","","","*.mobicontrolcloud.com|mobicontrolcloud.com","","false"
"52.16.246.91","polaris.staging.light.inc","","","","","polaris.staging.light.inc","","false"
"52.16.246.102","mp.bookandpark.nl","","","","","mp.bookandpark.nl|*.mp.bookandpark.nl","","false"
"52.16.246.104","*.dca.cc-n.dev","","","","","*.dca.cc-n.dev","","false"
"52.16.246.124","*.bda.rtbf.be","","","","","*.bda.rtbf.be","","false"
"52.16.246.131","essential-project.devops-tools.ei.aero","","","","","essential-project.devops-tools.ei.aero","","false"
"52.16.246.132","*.eu-west-1.es.amazonaws.com","","","","","*.eu-west-1.es.amazonaws.com","","false"
"52.16.246.136","*.eu-west-1.es.amazonaws.com","","","","","*.eu-west-1.es.amazonaws.com","","false"
"52.16.246.134","kube-apiserver","","","","","08e9c2a825edd2759d7ecb224ba1069c.gr7.eu-west-1.eks.amazonaws.com|ip-172-16-101-74.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.12.253.22|172.16.101.74","false"
"52.16.246.145","*.lakameda.lt","","","","","*.lakameda.lt","","false"
"52.16.246.155","events-prod.aws.lsbit.be","","","","","events-prod.aws.lsbit.be|*.events-prod.aws.lsbit.be","","false"
"52.16.246.167","*.seasalt.tech","","","","","*.seasalt.tech","","false"
"52.16.246.176","cashflows.com","","","","","cashflows.com|*.cashflows.com","","false"
"52.16.246.190","*.musement.com","","","","","*.musement.com|*.dev.musement.com","","false"
"52.16.246.195","ucm-dev.eu-west-1.aws.pmicloud.biz","","","","","ucm-dev.eu-west-1.aws.pmicloud.biz|*.ucm-dev.eu-west-1.aws.pmicloud.biz","","false"
"52.16.246.196","*.hummingbyrd.io","","","","","*.hummingbyrd.io","","false"
"52.16.246.197","mtls.sg-signin.uat.societegenerale.fr","Societe Generale SA","FR","PARIS","","mtls.sg-signin.uat.societegenerale.fr|mtls.api.uat.societegenerale.fr|mtls.cdn-connect.uat.groupe-credit-du-nord.com|mtls.api.uat.groupe-credit-du-nord.com","","false"
"52.16.246.211","*.barbon.com","","","","","*.barbon.com|barbon.com","","false"
"52.16.246.210","*.icaphq.com","","","","","*.icaphq.com","","false"
"52.16.246.220","*.eu-west-1.es.amazonaws.com","","","","","*.eu-west-1.es.amazonaws.com","","false"
"52.16.246.221","*.liiift.io","","","","","*.liiift.io","","false"
"52.16.246.223","*.execute-api.eu-west-1.amazonaws.com","","","","","*.execute-api.eu-west-1.amazonaws.com","","false"
"52.16.246.234","*.capinterfacedev.acurisbackend.com","","","","","*.capinterfacedev.acurisbackend.com","","false"
"52.16.246.232","they-code.de","","","","","they-code.de|*.they-code.de","","false"
"52.16.246.238","s24-infinity-cluster-5.eu-west-1.infinity.s24cloud.net","","","","","s24-infinity-cluster-5.eu-west-1.infinity.s24cloud.net|*.is24-zh-backend.eu-west-1.infinity.s24cloud.net|*.alias.s24cloud.net","","false"
"52.16.246.236","staging.justgiving.com","","","","","staging.justgiving.com|*.staging.justgiving.com","","false"
"52.16.246.239","*.thron.com","Thron S.P.A","IT","Piazzola sul Brenta","Veneto","*.thron.com|*.weebo.it|*.4me.it","","false"
"52.16.246.252","langleytrust.elementsuite.net","","","","","langleytrust.elementsuite.net|langleyhousetrust.elementsuite.net","","false"
"52.16.247.3","*.dineo.es","","","","","*.dineo.es|dineo.es","","false"
"52.16.247.2","checklist-qa.eflangtech.com","","","","","checklist-qa.eflangtech.com","","false"
"52.16.247.15","kube-apiserver","","","","","aa263b961ab74fd6fe765fe03596b17e.gr7.eu-west-1.eks.amazonaws.com|ip-172-16-49-224.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.110.43.19|172.16.49.224","false"
"52.16.247.17","pslscm-prd.eu-west-1.aws.pmicloud.biz","","","","","pslscm-prd.eu-west-1.aws.pmicloud.biz|*.pslscm-prd.eu-west-1.aws.pmicloud.biz","","false"
"52.16.247.19","*.dev-synthrone.io","","","","","*.dev-synthrone.io","","false"
"52.16.247.18","kube-apiserver","","","","","a8646c0327c4c745b2473993f85c47ed.yl4.eu-west-1.eks.amazonaws.com|ip-172-16-107-76.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.100.248.225|172.16.107.76","false"
"52.16.247.25","app.maam.life","","","","","app.maam.life|dev.maam.life","","false"
"52.16.247.28","appappldev001.onqpr.com","","","","","appappldev001.onqpr.com","","false"
"52.16.247.27","*.uar50opm909c4.eu-west-1.cs.amazonlightsail.com","","","","","*.uar50opm909c4.eu-west-1.cs.amazonlightsail.com","","false"
"52.16.247.33","*.hkube.io","","","","","*.hkube.io|*.hkube.org","","false"
"52.16.247.48","*.smartshift.com","","","","","*.smartshift.com|smartshift.com","","false"
"52.16.247.51","datahub.moodys.com","Moody's Corporation","US","New York","New York","datahub.moodys.com|www.datahub.moodys.com","","false"
"52.16.247.56","logistics-ghostbuster-api-test.logistics-test.nikecloud.com","","","","","logistics-ghostbuster-api-test.logistics-test.nikecloud.com","","false"
"52.16.247.60","*.mchale.net","McHale Engineering Unlimited Company","IE","Ballinrobe","Mayo","*.mchale.net|mchale.net","","false"
